X,Y
9.999999999999999e-5,0.000000000000000e+0
9.980267284282715e-5,6.279051952931337e-6
9.921147013144778e-5,1.253332335643042e-5
9.822872507286886e-5,1.873813145857246e-5
9.685831611286310e-5,2.486898871648548e-5
9.510565162951534e-5,3.090169943749474e-5
9.297764858882513e-5,3.681245526846779e-5
9.048270524660195e-5,4.257792915650726e-5
8.763066800438636e-5,4.817536741017153e-5
8.443279255020150e-5,5.358267949789966e-5
8.090169943749474e-5,5.877852522924731e-5
7.705132427757892e-5,6.374239897486896e-5
7.289686274214114e-5,6.845471059286885e-5
6.845471059286885e-5,7.289686274214114e-5
6.374239897486897e-5,7.705132427757892e-5
5.877852522924732e-5,8.090169943749473e-5
5.358267949789965e-5,8.443279255020150e-5
4.817536741017151e-5,8.763066800438636e-5
4.257792915650726e-5,9.048270524660195e-5
3.681245526846781e-5,9.297764858882513e-5
3.090169943749474e-5,9.510565162951534e-5
2.486898871648547e-5,9.685831611286310e-5
1.873813145857247e-5,9.822872507286885e-5
1.253332335643045e-5,9.921147013144777e-5
6.279051952931352e-6,9.980267284282715e-5
6.123233995736766e-21,9.999999999999999e-5
-6.279051952931340e-6,9.980267284282715e-5
-1.253332335643041e-5,9.921147013144778e-5
-1.873813145857246e-5,9.822872507286886e-5
-2.486898871648548e-5,9.685831611286310e-5
-3.090169943749471e-5,9.510565162951535e-5
-3.681245526846777e-5,9.297764858882513e-5
-4.257792915650727e-5,9.048270524660194e-5
-4.817536741017154e-5,8.763066800438634e-5
-5.358267949789968e-5,8.443279255020149e-5
-5.877852522924730e-5,8.090169943749474e-5
-6.374239897486897e-5,7.705132427757892e-5
-6.845471059286887e-5,7.289686274214114e-5
-7.289686274214113e-5,6.845471059286888e-5
-7.705132427757890e-5,6.374239897486899e-5
-8.090169943749473e-5,5.877852522924732e-5
-8.443279255020147e-5,5.358267949789970e-5
-8.763066800438636e-5,4.817536741017152e-5
-9.048270524660193e-5,4.257792915650728e-5
-9.297764858882513e-5,3.681245526846781e-5
-9.510565162951534e-5,3.090169943749475e-5
-9.685831611286309e-5,2.486898871648552e-5
-9.822872507286886e-5,1.873813145857245e-5
-9.921147013144777e-5,1.253332335643045e-5
-9.980267284282715e-5,6.279051952931358e-6
-9.999999999999999e-5,1.224646799147353e-20
-9.980267284282715e-5,-6.279051952931334e-6
-9.921147013144778e-5,-1.253332335643043e-5
-9.822872507286885e-5,-1.873813145857247e-5
-9.685831611286311e-5,-2.486898871648545e-5
-9.510565162951535e-5,-3.090169943749473e-5
-9.297764858882513e-5,-3.681245526846779e-5
-9.048270524660195e-5,-4.257792915650722e-5
-8.763066800438634e-5,-4.817536741017153e-5
-8.443279255020151e-5,-5.358267949789964e-5
-8.090169943749477e-5,-5.877852522924727e-5
-7.705132427757892e-5,-6.374239897486896e-5
-7.289686274214117e-5,-6.845471059286883e-5
-6.845471059286885e-5,-7.289686274214114e-5
-6.374239897486894e-5,-7.705132427757893e-5
-5.877852522924732e-5,-8.090169943749473e-5
-5.358267949789963e-5,-8.443279255020153e-5
-4.817536741017152e-5,-8.763066800438636e-5
-4.257792915650721e-5,-9.048270524660197e-5
-3.681245526846777e-5,-9.297764858882513e-5
-3.090169943749475e-5,-9.510565162951534e-5
-2.486898871648544e-5,-9.685831611286311e-5
-1.873813145857246e-5,-9.822872507286886e-5
-1.253332335643046e-5,-9.921147013144777e-5
-6.279051952931320e-6,-9.980267284282715e-5
-1.836970198721030e-20,-9.999999999999999e-5
6.279051952931283e-6,-9.980267284282715e-5
1.253332335643042e-5,-9.921147013144778e-5
1.873813145857242e-5,-9.822872507286886e-5
2.486898871648549e-5,-9.685831611286310e-5
3.090169943749472e-5,-9.510565162951535e-5
3.681245526846774e-5,-9.297764858882515e-5
4.257792915650718e-5,-9.048270524660198e-5
4.817536741017157e-5,-8.763066800438633e-5
5.358267949789968e-5,-8.443279255020149e-5
5.877852522924729e-5,-8.090169943749476e-5
6.374239897486893e-5,-7.705132427757896e-5
6.845471059286879e-5,-7.289686274214121e-5
7.289686274214112e-5,-6.845471059286889e-5
7.705132427757893e-5,-6.374239897486896e-5
8.090169943749473e-5,-5.877852522924733e-5
8.443279255020147e-5,-5.358267949789970e-5
8.763066800438630e-5,-4.817536741017161e-5
9.048270524660193e-5,-4.257792915650730e-5
9.297764858882513e-5,-3.681245526846778e-5
9.510565162951534e-5,-3.090169943749477e-5
9.685831611286309e-5,-2.486898871648553e-5
9.822872507286886e-5,-1.873813145857247e-5
9.921147013144777e-5,-1.253332335643046e-5
9.980267284282715e-5,-6.279051952931325e-6
9.999999999999999e-5,0.000000000000000e+0
